filename,lld_0,lld_1,lld_2,lld_3,lld_4,lld_5,lld_6,lld_7,lld_8,lld_9,lld_10,lld_11,lld_12,lld_13,lld_14,lld_15,lld_16,lld_17,lld_18,lld_19,lld_20,lld_21,lld_22,lld_23,lld_24,lld_25,lld_26,lld_27,lld_28,lld_29,lld_30,lld_31,lld_32,lld_33,lld_34,lld_35,lld_36,lld_37,lld_38,lld_39,lld_40,lld_41,lld_42,lld_43,lld_44,lld_45,lld_46,lld_47,lld_48,lld_49,lld_50,lld_51,lld_52,lld_53,lld_54,lld_55,lld_56,lld_57,lld_58,lld_59,lld_60,lld_61,lld_62,lld_63,lld_64
2118-phrase.wav,0.0,0.64359623,0.0,0.0,0.0,-100.0,0.12546621,0.98834115,0.004098191,0.099652775,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0019168629,7.029368e-05,156.25,239.58333,322.91666,4072.9167,0.035905886,882.4378,3.8883693,3155160.8,4.3399653,44.434525,-0.0007155425,0.6830247,0.00033692995,9.299947,17.33659,-18.77833,-3.7794263,5.9232917,12.750107,20.622734,10.208941,9.521127,4.058752,4.46065,2.0611787,3.453029,-0.8718694
1828-phrase.wav,0.0,0.3675778,0.0,0.0,0.0,-100.0,0.072923064,0.98834115,0.013734345,0.034027778,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.8394849e-05,5.747306e-06,31.25,31.25,31.25,62.5,0.014340586,56.6888,0.77340764,118382.98,18.679995,362.6305,-0.0028824836,0.043501303,2.3334549e-05,6.5927234,29.653906,-1.4703883,18.367685,6.7495537,13.837985,16.182238,9.316014,14.225621,13.18912,22.056421,12.2736435,21.573359,9.734012
1090-phrase.wav,0.0,0.5637837,0.0,0.0,0.0,-100.0,0.06844417,0.98834115,0.006486935,0.033333335,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.2436385e-06,6.73612e-06,31.25,31.25,52.083332,62.5,0.0029234206,85.35204,1.1409637,255903.64,12.204917,154.24104,-0.0006817535,0.06557039,1.2897144e-05,6.381949,21.748125,-3.2417953,20.147287,13.983971,22.1035,18.81568,10.134837,18.72903,5.3709283,9.956207,7.9858246,13.966826,9.899815
886-phrase.wav,0.0,0.2340452,0.0,0.0,0.0,-100.0,0.06603626,0.98834115,0.008431104,0.054861113,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,8.385592e-06,7.214172e-06,31.25,31.25,41.666668,62.5,0.004840311,54.975384,0.9583067,81904.62,20.746157,452.64243,-0.0011582194,0.043598514,8.8723045e-06,7.5165496,18.325087,4.4426284,16.593668,11.841252,15.909183,14.932369,16.194588,23.361929,8.52513,16.711695,11.905277,15.398373,3.468631
2271-phrase.wav,0.0,0.64342433,0.0,0.0,0.0,-100.0,0.12554587,0.98834115,0.0092271315,0.042013887,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.026629e-05,9.946878e-05,31.25,52.083332,52.083332,83.333336,0.011758379,248.36583,1.7158765,1058283.6,5.6165633,34.301224,-0.0009402716,0.18272154,0.00010125036,4.2099385,18.447515,-4.8049855,13.103691,14.1272745,18.893648,16.189222,-8.911695,-0.7584055,8.992244,26.369532,17.741655,15.174545,-4.739511
1563-phrase.wav,0.0,0.0,0.0,0.0,0.0,-100.0,0.06229046,0.98834115,0.020571597,0.0048611113,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,1.3182878e-05,5.3472227e-06,31.25,31.25,52.083332,62.5,0.037099693,41.37103,0.8730223,9166.553,67.51522,5592.5903,-0.006183485,0.034162022,1.1106759e-05,15.330714,20.8403,7.828426,21.225777,13.101434,21.224836,17.577162,15.537178,20.540497,9.72819,19.924026,8.890881,16.464525,7.4364915
2595-phrase.wav,0.0,0.5945371,0.0,0.0,0.0,-100.0,0.12772687,0.98834115,0.005722822,0.08645833,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,0.0007544024,2.6501139e-05,72.916664,114.583336,208.33333,395.83334,0.0128945885,262.30338,3.3429172,601579.2,7.354654,58.46938,-0.0007188031,0.2372887,0.00046328673,15.077567,32.63982,10.069634,10.531312,-4.715171,-3.215887,-10.595809,-9.872878,0.7639971,2.4712942,9.523419,-4.872831,-2.151624,-6.5203476
1046-phrase.wav,0.0,0.50531846,0.0,0.0,0.0,-100.0,0.08792523,0.98834115,0.008983591,0.025347224,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.9601511e-05,1.8685316e-05,31.25,31.25,31.25,62.5,0.008958192,72.67016,0.8131538,185403.02,14.047928,210.34808,-0.0012923972,0.05480373,2.6896994e-05,8.364387,17.539082,-0.13634627,16.175344,10.545686,14.082107,10.737775,5.978949,6.152223,6.5205283,14.789714,0.52112454,15.868215,3.116287
2161-phrase.wav,0.0,0.64126265,0.0,0.0,0.0,-100.0,0.089079805,0.98834115,0.013022255,0.04444444,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,2.8835508e-05,1.50270525e-05,31.25,31.25,52.083332,62.5,0.030895686,88.2839,1.1427754,257098.8,14.94382,279.16873,-0.0022674308,0.068339266,3.153736e-05,6.7728066,22.553856,2.6435583,19.329048,12.44746,10.692973,12.45511,8.641043,15.09488,7.9190316,14.401398,9.014998,15.973945,5.9052963
2089-phrase.wav,0.0,0.359596,0.0,0.0,0.0,-100.0,0.12548046,0.98834115,0.007520314,0.050694447,0.12921618,0.27204838,0.41952792,0.5544473,0.66972893,0.76589614,0.84702843,0.9178292,0.9822495,1.0430994,1.1020993,1.1600702,1.2171308,1.2728368,1.3262117,1.3755809,1.4180565,1.4484811,1.4578775,1.432704,1.3587462,1.2323397,1.069155,0.8959276,0.7342484,0.5943311,5.0638468e-05,7.421779e-05,31.25,31.25,41.666668,62.5,0.009780713,169.64282,1.4169456,631552.94,6.862728,51.194622,-0.0010330764,0.12151009,6.752478e-05,2.3943102,16.529871,9.362493,8.347024,9.873079,18.68775,11.15168,4.9590726,7.8200393,2.9378622,16.264193,0.251304,0.5707906,5.039808
